_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66430f2c2b05a65a052a3dd9,,79,97.3,79.4,71.38,395;1;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715670828000
66430eec2b05a65a052a3b5c,,66.6,93.61,66.6,61.41,333;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715670764000
66430eac2b05a65a052a390c,,67,95.48,67,59.36,335;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715670700000
66430aea2b05a65a052a1560,,77.2,96.99,77.2,69.09,386;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715669738000
66430aaa2b05a65a052a12ee,,77.2,97.01,78.2,71.29,386;1;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715669673000
6641e6a9866cd8bb79a02422,,82.2,99.04,82.2,76.79,411;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715594921000
6641e666866cd8bb79a02186,,64.4,92.61,64.4,61.22,322;0;0;0,time,60,-1,2,60,0,37.8,false,false,english,none,normal,false,false,false,,1715594854000
6641e5d4866cd8bb79a01c03,,75.6,96.18,75.6,70.19,378;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715594708000
66411405866cd8bb7999601a,,66.6,91.37,66.6,66.28,333;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715540997000
663cff86866cd8bb79745aad,,71.6,94.3,71.6,60.25,358;0;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1715273606000
66376521e7e7f153d07582a5,true,87.99,98.44,87.99,77.36,440;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1714906401000
663764d2e7e7f153d075800d,,84.59,98.84,84.59,73.43,423;0;0;0,time,60,-1,1,60,0,9.38,false,false,english,none,normal,false,false,false,,1714906322000
